Record IDs,Factor 1,Factor 2,Factor 3,Cluster
466,-0.111388052,0.110375569,0.083800574,1
467,-0.03449315,-0.31354053,0.314463767,1
468,-0.099439185,-0.199556896,0.365777466,1
469,-0.013325556,-0.468426543,0.309382459,1
470,-0.011897291,-0.385570261,0.357825613,1
471,-0.139356269,0.34648499,0.228888386,1
472,0.100863796,-0.500175173,0.398474289,1
473,-0.112899282,-0.52049097,-0.139987445,1
474,-0.010710642,-0.273007442,0.322007796,1
475,-0.062356692,0.283413358,0.814813721,1
476,0.181140587,-0.311988293,0.283190791,1
477,-0.104957011,-0.147870375,-0.454019786,1
478,-0.033243757,0.138775656,0.375730403,1
479,-0.522561966,0.72421735,-1.949856579,2
480,0.127877435,-0.202672878,0.273427882,1
481,0.268801027,-0.730839507,-0.535913337,1
482,0.213275808,-0.097077859,0.548739366,1
483,-0.113615892,-0.411265537,0.101279305,1
484,-0.113691933,-0.533555086,-0.226368817,1
485,-0.149204715,0.051727199,0.16321533,1
486,0.152450572,-0.217217221,0.399908254,1
487,-0.119875447,-0.54884305,-1.06679191,1
488,-0.056988832,0.735326606,0.402514516,1
489,2.535159707,0.017486424,0.785860208,1
490,0.309066653,-0.217680256,0.415655733,1
491,-1.886106869,2.415282379,-5.402686908,2
492,-0.09049976,-0.395095551,0.191206212,1
493,0.039520547,0.151774741,0.462397956,1
494,-0.076034831,-0.519916172,-0.567743055,1
495,-1.013718955,-0.244277307,-3.390757364,2
496,0.926791552,-0.367300441,0.293102486,1
497,-0.033852428,-0.093586694,0.441338601,1
498,0.074897962,-0.21106945,0.366606638,1
499,0.00072686,-0.157503547,0.334465296,1
500,0.012467011,-0.153003006,-0.193053937,1
501,-0.289605003,0.127513026,-0.382783231,1
502,-0.200000931,-0.267704498,-0.381201792,1
503,0.119711607,-0.4771014,0.018742007,1
504,-0.052605973,0.09290212,0.626754246,1
505,-0.113739328,0.406995372,0.541349451,1
506,-0.155074718,-0.134753233,0.277367739,1
507,0.095302135,-0.372452192,0.118152274,1
508,-0.082971814,-0.414231304,0.304091057,1
509,-0.087411991,-0.81399905,-0.315609771,1
510,-0.265496181,0.618342395,-0.241448836,1
511,-0.117486074,0.018059581,0.055032402,1
512,-0.125313328,-0.209828626,0.282669627,1
513,0.512390714,-0.192168044,-0.159120229,1
514,0.05922715,-0.254895269,0.368734047,1
515,-0.054163902,-0.245617489,0.062107599,1
516,2.073752407,-1.102864276,0.100381954,1
517,-0.298550497,-0.138898436,-1.523087298,2
518,-0.016345128,0.443791845,0.117235638,1
519,-0.06237398,-0.351531039,0.152888676,1
520,0.054219887,0.355971425,0.50071052,1
521,-0.122619363,-0.23892451,0.097377749,1
522,0.035642765,-0.344543758,0.399112968,1
523,0.103764546,0.716311803,0.348142475,1
524,-0.132889138,-0.360380008,0.163396643,1
525,0.04816396,-0.538007833,0.034172219,1
526,-0.590453934,0.385506071,-2.024758089,2
527,0.013035521,-0.256866094,0.419304196,1
528,-0.081868658,-0.387072022,-0.142123611,1
529,0.011257234,-0.348748968,0.389160532,1
530,-0.272088348,-0.501544178,-2.492151564,2
531,0.032978314,-0.288628669,0.159544567,1
532,0.001275739,0.178641095,0.515388207,1
533,-0.054231651,0.153832451,0.119508185,1
534,-0.083404498,-0.394883245,0.31989366,1
535,0.155424956,-0.321025064,-0.094852891,1
536,0.103047697,-0.358243151,0.200233122,1
537,-0.280358872,0.544782417,-0.155294235,1
538,0.067772165,-0.255957735,0.457347675,1
539,0.057095483,0.140179348,0.255141944,1
540,0.119529441,0.188514831,0.178359201,1
541,-0.136047648,-0.0309326,0.26315408,1
542,-0.149840776,-0.298950701,0.053673093,1
543,0.478224748,0.088689293,-0.956647575,1
544,0.045076704,-0.336360759,0.190360729,1
545,-0.167629324,-0.329370006,0.058804483,1
546,0.087812553,-0.138659551,0.528474977,1
547,0.31924572,0.417076346,-0.613967449,1
548,-0.044120182,-0.299230242,0.295011055,1
549,-0.109004598,-0.355738108,0.157450826,1
550,-0.002462982,-0.004766901,0.234933049,1
551,0.245051603,-0.368593078,0.258851868,1
552,-0.137022507,0.056780264,-0.017587167,1
553,-0.273158494,-0.216297129,-0.395447938,1
554,0.076809594,-0.038202915,0.233760963,1
555,0.274131571,1.486788045,0.479060985,1
556,-0.086387429,0.21735623,0.539315293,1
557,-0.094540782,0.471588937,0.447282406,1
558,-0.109848199,1.104894274,0.037739177,1
559,-0.002819069,-0.306939704,0.354187632,1
560,0.213321996,-0.298352545,0.202950771,1
561,-0.113137233,-0.319621111,0.319521333,1
562,-0.045571884,-0.354435758,0.296696329,1
563,-0.071111043,0.198798445,0.541175005,1
564,-0.297086623,3.554370368,1.326343641,1
565,-0.046448773,-0.328925484,0.391613535,1
566,-0.042876969,-0.4510221,0.26065627,1
567,-0.13816277,0.433831528,0.536284055,1
568,0.147774512,-0.351201626,0.375593597,1
569,-0.081140533,-0.298857622,0.034925173,1
570,-0.152106596,-0.197326343,0.050263862,1
571,-0.082634738,-0.404300244,0.364166392,1
572,-0.040758575,-0.096877606,0.391807712,1
573,-0.022432239,0.717082499,0.38570312,1
574,0.058138925,-0.128924658,0.370437926,1
575,-0.312959057,-0.001224963,-0.480370485,1
576,0.322244267,-0.466478314,0.067865023,1
577,-0.090728328,-0.396652031,0.332580654,1
578,-0.189425945,-0.011708865,0.258726897,1
579,-0.065963479,0.010335246,0.441797534,1
580,-0.088322677,-0.112737958,0.477287931,1
581,0.003847854,-0.471293756,0.35393996,1
582,0.197533623,-0.339371232,0.489357546,1
583,-0.05243105,-0.637887553,-0.634384979,1
584,0.066072666,-0.139332999,0.512256758,1
585,0.149557074,-0.135569128,-0.311833078,1
586,0.31694909,-0.262135879,0.511722465,1
